가수명,노래제목,발매일,가사,좋아요수,순위
케이윌,오늘부터 1일 (Day 1),2014-06-26,오늘 뭐하니 너 지금 바쁘니별일 없으면 오늘 나랑 만나줄래 할말이 있어 뭐 별 얘기는 아닌데나 너를 좋아하나봐 이런 말 나도 처음이야You're my lady you're my baby 정말 나 장난 아냐오늘부터 지금부터 내꺼해줄래 baby 못생긴 애들 중에 내가 제일 잘 생긴 것 같대 내가 뭘 어떡하면 너 내 맘 알겠니너만 생각하면 미치겠어woo hoo아주 잘 생기진 않았는데내가 웃을 땐 조금 괜찮은 것 같아웬만한 남자보다 내가 더 잘할게 my love 너를 사랑해두 눈을 감고 하나 둘 셋을 세두 눈을 뜨고 보이는걸 얘기해봐잘 안보이니 네 남자가 안보이니우리 오늘부터 1일 이런 말 나도 처음이야You're my lady you're my baby 정말 나 장난 아냐오늘부터 지금부터 내꺼해줄래 baby 못생긴 애들 중에 내가 제일 잘 생긴 것 같대 내가 뭘 어떡하면 너 내 맘 알겠니너만 생각하면 미치겠어 woo hoo아주 잘 생기진 않았는데내가 웃을 땐 조금 괜찮은 것 같아웬만한 남자보다 내가 더 잘할게my love 너를 사랑해내게 와 고민하지 말고다가와 망설이지 말고나 조금 부족한 건 알지만이세상에 누구보다 너를 사랑해 baby잘 생긴 애들 중엔 착한 남잔 찾을 수가 없대 내가 그 누구보다 착한걸 알잖니 너만 생각하면 미치겠어woo hoo사람들이 다들 그러는데 너랑 나랑 둘이 제일 잘 어울린대그 어떤 남자보다 내가 더 잘할게my love 너를 사랑해,76982,525
황인욱,이별주,2019-11-01,오늘이 지나면 널 지워야겠지흔들리는 이 술잔이너의 마음 같아서아무 말 안 해도 난 알 수가 있어오늘 넌 이별을 말할 것 같아하필 왜 이 포장마차니우리 처음 만났던 이 자리에서왜 눈물 나게 해이 술잔을 마시고 나면넌 이별을 말할 것만 같아제발 이러지 마 나를 떠나지 마다 소용없는 거잖아이 술잔을 마시고 나면너 혼자만 끝인 거잖아 우리가왜 헤어져야 해이 술잔을 비우지 마 제발하필 왜 이 포장마차니우리 매일 만났던 그 자리에서왜 눈물 나게 해이 술잔을 마시고 나면넌 이별을 말할 것만 같아제발 이러지 마 나를 떠나지 마다 소용없는 거잖아이 술잔을 마시고 나면너 혼자만 끝인 거잖아 우리가왜 헤어져야 해이 술잔을 비우지 마 제발이 한잔의 술잔을 마시면 난너 없이 살아갈 수 있을까이제 우린 남이 되겠지이 술잔을 마시고 나면이 한잔에 끝낼 거라면넌 사랑을 말하면 안 되잖아그때 왜 그랬어 날 왜 사랑했어어차피 남이 될 거잖아이 술잔을 마시고 나면너 혼자만 끝인 거잖아 우리가왜 헤어져야 해이 술잔을 비우지 마 제발,60815,526
JUNIEL,illa illa (일라 일라),2012-06-07,따스하게 부는 향기로운 바람내 두 볼에 스치면 난사랑했던 그대 얼굴이 떠오르죠oh 길가에 숨어선이름도 모르는 들꽃이 필 때쯤엔기억 저 편에 감춰 둔그대가 떠오르죠My baby illa illa illababy illa illa illababy illa illa illaNever forget love첫사랑은 아름다워서첫사랑은 꽃이랍니다봄이 오면 활짝 피는오 눈이 부신 꽃처럼첫사랑은 어린애처럼첫사랑은 서투릅니다사랑을 아낌없이 주고갖질 못하니까illa illa illa illa illa illa illa illa illa나의사랑good bye 까만 밤하늘에 그려있는 별이그대 추억 불러오면오랜 일기장 속에서그댈 꺼내봅니다My baby illa illa illababy illa illa illababy illa illa illaNever forget love첫사랑은 아름다워서첫사랑은 꽃이랍니다봄이 오면 활짝 피는오 눈이 부신 꽃처럼첫사랑은 어린애처럼첫사랑은 서투릅니다사랑을 아낌없이 주고갖질 못하니까그땐 어려서 그땐 몰랐죠오 이젠 알 것 같은데 난 그댈 그리며 불러보죠illa illa illa illa illa illa illailla illa illa illa never forget love첫사랑은 아픈 걸 보면첫사랑은 열병입니다정신 없이 앓고 나면오 어른이 되니까요첫사랑은 안되니까요첫사랑은 미련입니다너무나 많이 사랑해서갖질 못하니까illa illa illa illa illa illa illa illa illa나의 사랑good byeilla illa illa illa illa illa illa illa illa나의 사랑good bye,85994,527
조장혁,중독된 사랑,2000-06-01,"다시 너를 볼 수 있을까이렇게 너의 집까지 오고만 거야넌 나를 떠나도 매일 널 바래다 준 습관 눈물로 남아서소리없이 끊는 전화에 
몸서리치게 네 모습 더욱 그리워너의 그 따뜻한 목소리 이젠 더 이상은 내 것이 아닌데잊었니 너와 나 사랑했던 날 모두이젠 너의 기억 저멀리 잠든 추억인 거니아직도 널 잊지 못해 견딜 수 없어눈물로 하루를 삼키는 내게제발 다시 돌아올 수 없겠니너 없는 세상 어디에서도숨쉴수 없는 날 위해 들어줄 넌 곁에 없지만 가만히 너의 이름을 혼자 불러봐어쩌면 예전에 그랬던 내가 대답해 줄까 하는 미련에잊었니 너와 나 사랑했던 날 모두이젠 너의 기억 저멀리 잠든 추억인 거니아직도 널 잊지 못해 견딜 수 없어눈물로 하루를 삼키는 내게제발 다시 돌아올 수 없겠니너 없는 세상 어디에서도숨쉴수 없는 날 위해 날 위해~ 날위해~ 날위해~ 돌아와",52073,528
임창정,날 닮은 너,2000-10-31,날 닮은 너를 부족한 너를 그저 바라보기엔 후회로 물든 내 지난날이 너무 많이 다쳤어 나의 과거와 너의 지금과 너무도 같기에 두려워 겁이나 내게 마지막이어야 할 사람 너의 방황을 돌릴 수 있게 날 이렇게 뿌리친대도 너의 손을 놓진 않을거야  잠시도 너는 불안한 모습 감출수가 없었니 음 내가 아녀도 지친 니 맘을 위로 받을수 있니 나의 과거와 너의 지금과 너무도 같기에 두려워 겁이나 내게 마지막이어야 할 사람 너의 방황을 돌릴 수 있게 날 이렇게 뿌리친대도 너의 손을 놓진 않을거야  나 역시 너 같았어 너처럼 어두웠어 니가 지내온 또 다른 시간도 더 있을 고통도 난 감당할거야 워 마지막이어야 할사람 너의 미래를 지킬 수 있게 날 이렇게 뿌리친대도 너의 손을 놓진 않을거야  마지막이어야 할 사람 너의 미래를 지킬수 있게 날 이렇게 뿌리친대도 너의 손을 놓진 않을거야  너의 손을 놓진 않을거야,43188,529
이우,내 안부,2019-07-16,내 소식 들었지 너와 헤어지고참 많이 울고 힘들게 버티다이해심이 많은 좋은 사람을만나서 나는 잘 지내고 있어그런데 이상해아직 넌 힘들어한다는얘길 전해 들으니 네가 좀 걱정돼그녀에게 미안하지만 자꾸네가 생각나어떻게 지내 네 안부 참 궁금한데날 잊고 행복하길 바랬는데예쁜 사랑 하기를 바랬는데잘해주지 못한 날 왜 잊지 못하니들려오는 너의 안부못 들은 척 지나갈걸그게 안돼지금 여자친구힘들 때 내 곁으로 와너의 기억을 하나씩 지워줬어 고맙게나는 나쁜 놈인 가봐고작 너의 안부에가슴이 뛰고 왜 눈물이 나는 건데날 잊고 행복하길 바랬는데예쁜 사랑 하기를 바랬는데잘해주지 못한 날 왜 잊지 못하니들려오는 너의 안부못 들은 척 지나갈걸헤어짐을 말한 너를 미워도 하고후회하며 지내기를 바랬어널 잊고 행복하게 잘 살았는데예쁜 사랑 다시 시작했는데다 잊었다 생각하고 지내왔는데들려오는 너의 안부에결국 무너졌어,64517,530
디셈버,사랑 참...,2009-10-27,사랑합니다 그댈 사랑합니다이 말 한마디 너무 어려웠죠그런 내 모습에 그댄 예쁘게 웃었죠마음 까지도 아름다운 사람그댄 아직 모르나봐요행복하라 하네요내가 그댈 어찌 잊나요그댄 내 사랑인데 내겐 한 사람인데떠나 가려 하네요 어떡하죠기다리면 될까요혼자서라도 사랑하면 될까요사랑 참 못됐네요그대조차 눈물이겠죠 착한 사람이니까내가 먼저 걱정 이겠죠그댄 내 사랑인데 내겐 한 사람인데떠나 가려 하네요 어떡하죠기다리면 될까요혼자서라도 사랑하면 될까요사랑 참 못됐네요미안한 일밖에 생각나지 않네요그런 나라서 두고 가나요그댄 내 사랑인데 내겐 한 사람인데떠나 가려 하네요 어떡하죠그리워도 될까요그댄 없는데 살아가도 될까요사랑 참 아프네요사랑이 이런 건가요,18670,531
휘인 (Whee In),Melody,2022-05-18,비 내리는 midnight midnight잠은 오지 않고 너와기억 속을 걷다가Fall in the moon기울어진 달처럼 사라진 꿈들이귓가에 맴돌아또 나를 흔들어yeah yeah미련 없이 널 보내고왜 미련하게 널 잊지 못하는데나 홀로 남겨진 이 멜로디기억 속에서 아득히 살아남아 있어가슴이 찢어질 듯 아파날 미치게 만들어너의 목소리만 들려온다이 별에 남겨진 우리 둘의 멜로디이 길의 끝에널 다시 사랑할 수 있을까너 없는 나는 빛을 잃었어떨어지는 눈물에 달빛이 잠기고작은 추억들마저 지쳐가고 있어Oh yeah너의 기억들 모두 사라져져 ohh wah나 홀로 남겨진 이 멜로디기억 속에서 아득히 살아남아 있어가슴이 찢어질 듯 아파날 미치게 만들어니가 없는 난 빛을 잃었어나 홀로 남아 부르고 있어이름도 없는 지금 우리 노래를우리를 닮아간 그 melody이별에 남겨진 우리 둘의 멜로디흘러가는 이 시간 끝너를 볼 수 있을까이 노래만 불러비가 그치면 끝날 멜로디한낱 꿈처럼 다 사라지겠지어둠 넘어 달빛 속에,7379,532
아샤트리,그대 에너지,2022-05-14,항상 난 든든해요참 오래도 지났는데당연하게도나의 뒤엔 항상 그대가 서있는걸까만 내 맘속에 마치햇살처럼 스며들어환히 비추고웃게만 해주는그대가 참 고마워가만히 생각하면잘해준 거 없는데그저 난 받기만 했었잖아내 가슴에 넘쳐 흐르는 그대 에너지힘이 나게 해 저기 별처럼나를 비춰주는나를 아껴주는 널 사랑해이제야 깨달아얼마나 감사한 건지소중한 그댈 아껴야만 해아낌없이 네게더 예쁜 내 맘모두 다 줄게매 순간 벅차올라내 곁에 널 볼 때 마다아픈 날에는달려와 안아준그댄 내게 감동이야습관처럼 귀찮은 철부지 투정들도언제나 받아주는 그대라사랑해내 가슴에 넘쳐 흐르는 그대 에너지힘이 나게 해 저기 별처럼나를 비춰주는나를 아껴주는 널 사랑해이제야 깨달아얼마나 감사한 건지소중한 그댈 아껴야만 해아낌없이 네게더 예쁜 내 맘모두 다 줄게긴 밤이 새도록 난 네 생각만해어떤 말이면 내 마음을 전부 다표현하고행복을 찾아서 전할 수 있을까I swear to you따스히 안아줘곁을 지켜줘 아프지 않게우리 생애 마지막 그날에도 맹세할게오직 내게는 너뿐이라고다시 태어나도너만을 위해 살아갈 거야영원히 널 지켜주는내 마음을 줄게,3993,533
포맨 (4MEN),다시 사랑 할 수 있을까 (Feat. 다비치),2010-01-18,사랑하지 않는데 사랑인줄 알았대 사랑한다 말할 때 그런 줄 알았대사랑을 몰랐대보내줘야 하는데 웃어줘야 하는데눈물이 왜 나는데 사랑이 아닌데왜 눈물 나는데잡고 싶은데 입이 떨어지질 않네요잘 가란 말이라도 해야죠우린 여기까지죠사랑이 깊어서 이별이 된 거죠조금만 사랑했더라면떠나지 않았을 텐데생각이 너무 많아서혼자서 이별을 만든거죠헤어진 다음날에야 알았죠다시 사랑할 수 있을까혼자두면 어떻게 해변해버린 하루에 익숙하지 않은데조급한 마음에 원망만 하는데후회하지만 다시 돌아갈 순 없겠죠내 마음은 그런게 아닌데그땐 왜 보냈는데사랑이 깊어서 이별이 된 거죠조금만 사랑했더라면떠나지 않았을 텐데생각이 너무 많아서혼자서 이별을 만든거죠헤어진 다음날에야 알았죠끝난건가요 끝난건가요정말 끝난건가요 끝난건가요말이 없네요언제나 그랬죠언제나 말없이내게 기댔었죠 그대는내게 언제나 그랬었죠마음 둘 곳이 없네요 끝난거죠사랑이 깊어서 이별이 된 거죠조금만 사랑했더라면떠나지 않았을 텐데생각이 너무 많아서혼자서 이별을 만든거죠어쩌다 우리가 이렇게 됐나요기약도 없나요여느 날처럼 내 전화를기다리지는 않나요자존심 때문인가요한번만 져줄 수는 없나요아직도 그대는 사랑을 모르죠다시 사랑할 수 있을까그런 날이 올 수 있을까다시 사랑할 수 있을까,70032,534
소유 (SOYOU),I Miss You,2016-12-31,바라보면 자꾸 눈물이 나는 건왠지 몰라도돌고 돌아 내게 오고 있었나요피해지지 않는 그 사랑I love u love u love u인연인 걸 느꼈죠 난And I miss u miss u나의 운명인 사람슬픈 눈빛으로 왜 나를 보나요울지 말아요한 눈에 날 알아본 건 아닌가요이제서야 왜 내게 왔죠I love u love u love u인연인 걸 느꼈죠 난And I miss u miss u나의 운명인 사람몇 번을 태어난대도그대가 어딜 숨어도나는 그댈 찾겠죠다신 우리 헤어지지 마요내 곁에서떠나가지 말아요떠나가지 말아요,120384,535
임창정,소주한잔,2010-02-11,술이 한 잔 생각나는 밤 같이있는 것 같아요 그 좋았던 시절들이젠 모두 한숨만 되네요 떠나는그대 얼굴이 혹시 울지나 않을까난 먼저 돌아섰죠 그때부터 그리워요사람이 변하는 걸요 다시 전보다그댈 원해요 이렇게 취할때면꺼져버린 전화를 붙잡고 여보세요나야 거기 잘 지내니 여보세요왜 말 안하니 울고 있니 내가오랜만이라서 사랑하는 사람이라서그대 소중한 마음 밀쳐낸 이기적인그때의 나에게 그대를 다시불러오라고 미친듯이 외쳤어떠나는 그대 얼굴이 마치 처음과같아서 나 눈물이 났어요 그때부터그리워요 사람이 변하는 걸요다시 전보다 그댈 원해요이렇게 취할때면 바껴버린전화번홀 누르고 여보세요 나야거기 잘 지내니 오랜만이야 내 사랑아그대를 다시 불러오라고 미친듯이울었어 워 여보세요 나야 정말 미안해이기적인 그때의 나에게 그대를다시 불러오라고 미친듯이 외쳤어,71868,536
